,Neo-Assyrian,Hellenistic,Neo-Babylonian,Middle Babylonian,"Neo-Assyrian, Neo-Babylonian",Achaemenid
Akkadian,1272,18.0,702,102,,98.0
Sumerian,54,,6,28,,
"Sumerian, Akkadian",66,,24,22,52.0,
