,Hellenistic,Neo-Assyrian,Neo-Babylonian,Middle Assyrian,Old Babylonian,Seleucid,unspecified
"Sumerian, Akkadian",82.0,360,87.0,8.0,4.0,,5.0
Sumerian/Akkadian Bilingual,,4,,,,1.0,
