,Neo-Assyrian,uncertain,Neo-Babylonian,Old Babylonian,Hellenistic,unspecified,Achaemenid,First Millennium
Akkadian,32,,,,,132.0,,
unspecified,3,3.0,24.0,7.0,98.0,,2.0,4.0
