,Neo-Assyrian,uncertain,Neo-Babylonian,Old Babylonian,Hellenistic,unspecified,Achaemenid,First Millennium
Akkadian,131,,,,,220.0,,
unspecified,16,4.0,78.0,13.0,182.0,,10.0,90.0
