,Neo-Assyrian,Hellenistic,Neo-Babylonian,Old Assyrian,Middle Assyrian,Middle Babylonian,"Neo-Assyrian, Neo-Babylonian",Achaemenid
unspecified,28216,,,,,,,
Akkadian,11262,9.0,715.0,161.0,1440.0,51.0,,49.0
Sumerian,25,,3.0,,,14.0,,
"Akkadian, Aramaic, Luwian",2,,,,,,,
"Akkadian, Aramaic",28,,,,,,,
Aramaic,2,,,,,,,
"Sumerian, Akkadian",33,,12.0,,,11.0,26.0,
