,Neo-Assyrian,uncertain,Neo-Babylonian,Old Babylonian,Hellenistic,unspecified,Achaemenid,First Millennium
Akkadian,163,,,,,352.0,,
unspecified,19,7.0,102.0,20.0,280.0,,12.0,94.0
