,Middle Babylonian,Old Babylonian,Lagaš II,Old Akkadian,Ur III,Early Dynastic,Neo-Assyrian,Hellenistic,Neo-Babylonian,Old Assyrian,Middle Assyrian,"Neo-Assyrian, Neo-Babylonian",Achaemenid,unspecified
unspecified,85.0,102.0,340.0,91.0,541.0,725.0,,,,,,,,2.0
Akkadian,48.0,,,,,,9853.0,9.0,549.0,138.0,1220.0,,35.0,
"Sumerian, Akkadian",5.0,,,,,,26.0,,8.0,,,18.0,,
Sumerian,10.0,,,,,,23.0,,3.0,,,,,
"Akkadian, Aramaic, Luwian",,,,,,,1.0,,,,,,,
"Akkadian, Aramaic",,,,,,,27.0,,,,,,,
Aramaic,,,,,,,2.0,,,,,,,
Sumerian (Akkadian colophon),,,,,,,,,4.0,,,,,
