,Neo-Assyrian,Old Babylonian,Middle Assyrian,Seleucid,Achaemenid,Uncertain,Neo-Babylonian,Standard Babylonian,unspecified
unspecified,4426.0,349.0,644.0,,,,120.0,765.0,24.0
Akkadian,7081.0,,,5285.0,5544.0,890.0,2022.0,,503.0
Sumerian/Akkadian Bilingual,1571.0,,,2699.0,477.0,27.0,,,
Sumerian,232.0,,,8.0,,4.0,,,
bilingual,399.0,,,,,34.0,,,
akkadian,,,,,,,239.0,,
