,Neo-Assyrian,Hellenistic,Neo-Babylonian,Middle Babylonian,"Neo-Assyrian, Neo-Babylonian",Achaemenid
Akkadian,15721,436.0,20499.0,1113.0,,1396.0
Sumerian,896,,123.0,652.0,,
"Sumerian, Akkadian",1371,,629.0,777.0,1215.0,
Akkadian?,88,,,,,
