,Neo-Babylonian,Hellenistic,Neo-Assyrian,Old Babylonian,unspecified,Middle Assyrian,Seleucid,Middle Babylonian
"Sumerian, Akkadian",4732.0,24870.0,28334,334.0,1225.0,480.0,,
unspecified,53.0,265.0,101,,,,,180.0
Sumerian/Akkadian Bilingual,,,102,,,,215.0,
