,Neo-Assyrian,Hellenistic,Neo-Babylonian,Old Assyrian,Middle Assyrian,Middle Babylonian,"Neo-Assyrian, Neo-Babylonian",Achaemenid
unspecified,275662,,,,,,,
Akkadian,163426,218.0,10589.0,2186.0,20399.0,507.0,,672.0
Sumerian,400,,61.0,,,219.0,,
"Akkadian, Aramaic, Luwian",52,,,,,,,
"Akkadian, Aramaic",82,,,,,,,
"Sumerian, Akkadian",606,,299.0,,,294.0,534.0,
